mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
bus,20200824,Abbotsford Public School,733,Sydney CBD_Galeries Victoria,96,51
bus,20200824,Acacia Gardens_Waite Reserve,3930,Blacktown Station_North,4105,39
bus,20200824,Airds_Riley Park,3201,Campbelltown Town Centre_Campbelltown Station,3215,83
bus,20200824,Airds Village Shopping Centre,3203,Campbelltown Town Centre_Campbelltown Station,3215,102
bus,20200824,Albion Park_Rosetta Hill,5807,Regal Heights Shopping Centre,5803,73
bus,20200824,Alexandria_Eastern Suburbs Mail Centre,267,Beaconsfield Industrial Area_Green Square Station,264,98
bus,20200824,Alexandria_Eastern Suburbs Mail Centre,267,Central Station,146,39
bus,20200824,Alexandria_Eastern Suburbs Mail Centre,267,Redfern Station,215,225
bus,20200824,Alexandria_Mandible St and Wyndham St,262,Redfern Station,215,52
bus,20200824,Allawah Station_North,2605,,,52
bus,20200824,Allawah Station_North,2605,Westfield_Hurstville,2606,66
bus,20200824,Allowah Childrens Hospital,1130,Eastwood Station,1506,60
bus,20200824,All Saints High School,3804,Glenfield Station_South,3279,83
bus,20200824,Ambarvale High School,3303,Campbelltown Town Centre_Campbelltown Station,3215,62
bus,20200824,Ambarvale Shopping Centre,3299,Campbelltown Town Centre_Campbelltown Station,3215,63
bus,20200824,Ambarvale Shopping Centre,3299,Macarthur Station_South,3220,50
bus,20200824,Annandale,820,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,54
bus,20200824,Annandale,820,Forest Lodge_Arundel St and Short St,231,35
bus,20200824,Annandale,820,Glebe_Mitchell St and Westmoreland St,232,72
bus,20200824,Annandale,820,Sydney CBD_Belmore Park,134,36
bus,20200824,Annandale,820,Sydney TAFE,144,196
bus,20200824,Annandale,820,UTS_Ultimo_West,159,39
bus,20200824,Annandale_Johnston St and Booth St,818,Sydney CBD_Savings Bank Building,60,38
bus,20200824,Annandale_Johnston St and Booth St,818,Sydney TAFE,144,79
bus,20200824,Aquinas College,2827,,,95
bus,20200824,Aquinas College,2827,Menai High School,2819,36
bus,20200824,Arndell Park,4043,Blacktown Station_North,4105,88
bus,20200824,Arndell Park,4043,Westpoint Centre_Blacktown Station_South,4107,51
bus,20200824,Artarmon Industrial Area_Western End,1841,St Leonards,1844,130
bus,20200824,Ashcroft High School,3602,Liverpool CBD,3839,56
bus,20200824,Ashcroft High School,3602,Liverpool Station,3843,57
bus,20200824,Ashfield_Frederick St and Henry St,900,Ashfield Station_North,902,62
bus,20200824,Ashfield_Frederick St and Henry St,900,Burwood Station_North,895,37
bus,20200824,Ashfield RSL Club,898,Ashfield Station_South,904,59
bus,20200824,Ashfield Station_South,904,,,37
bus,20200824,Ashfield Station_South,904,Ashfield,905,52
bus,20200824,Ashfield Station_South,904,Ashfield Station_North,902,36
bus,20200824,Ashfield Station_South,904,Canterbury Boys High School,907,46
bus,20200824,Ashfield Station_South,904,Croydon Park,936,108
bus,20200824,Ashfield Station_South,904,Croydon_Wesley Private Hospital,933,61
bus,20200824,Auburn_Domayne,1301,Lidcombe Station,1336,44
bus,20200824,Auburn_Ettalong St,1317,Auburn Station_South,1309,62
bus,20200824,Auburn Girls High School,1303,Parramatta Station_South,1059,46
bus,20200824,Auburn_McDonalds,1304,Parramatta Station_South,1059,44
bus,20200824,Auburn Station_North,1306,Silverwater_Silverwater_ Stubbs St and Beaconsfield St,1323,94
bus,20200824,Auburn Station_South,1309,Auburn Hospital District Hospital,1311,48
bus,20200824,Auburn Station_South,1309,Auburn_Wellington Rd and Park Rd,1313,70
bus,20200824,Auburn Station_South,1309,Regents Park_Peter Hislop Park,1315,37
bus,20200824,Auburn Station_South,1309,South Granville Industrial Area,1257,54
bus,20200824,Austlink Corporate Park_Belrose,2129,Gordon Station_West,1704,58
bus,20200824,Avalon Beach,2004,,,38
bus,20200824,Avalon Beach,2004,Basin Beach,2030,47
bus,20200824,Bald Face Point Lookout Blakehurst,2660,Hurstville_Empress Res,2653,48
bus,20200824,Balgowlah,2202,,,37
bus,20200824,Balgowlah Boys High School,2204,,,53
bus,20200824,Balgowlah Boys High School,2204,Sydney CBD_Wynyard Station_George St,57,102
bus,20200824,Balgownie Primary School,5601,,,54
bus,20200824,Balmain Ferry Wharf Darling Street,805,Balmain Ferry Wharf Darling Street,805,60
bus,20200824,Balmain Ferry Wharf Darling Street,805,Balmain_Montague St and Darling St,804,54
bus,20200824,Balmain Ferry Wharf Darling Street,805,Gladstone Park,806,87
bus,20200824,Balmain Ferry Wharf Darling Street,805,Westpac Building,82,53
bus,20200824,Balmain High School,824,Market St and Kent St,92,51
bus,20200824,Balmain High School,824,Sydney CBD_Galeries Victoria,96,91
bus,20200824,Balmain_Montague St and Darling St,804,,,37
bus,20200824,Balmain_Montague St and Darling St,804,Allianz Centre,80,37
bus,20200824,Balmain_Montague St and Darling St,804,Balmain_Montague St and Darling St,804,40
bus,20200824,Balmain_Montague St and Darling St,804,Queen Victoria Building,95,36
bus,20200824,Balmain_Montague St and Darling St,804,Rozelle Public School,826,52
bus,20200824,Balmain_Montague St and Darling St,804,Westpac Building,82,269
bus,20200824,Balmain_Roseberry St,807,Allianz Centre,80,43
bus,20200824,Balmain_Roseberry St,807,Queen Victoria Building,95,67
bus,20200824,Balmain_Roseberry St,807,Westpac Building,82,197
bus,20200824,Balmain_Thames St and Trouton St,803,Balmain Ferry Wharf Darling Street,805,72
bus,20200824,Balmoral,1923,Sydney CBD_Wynyard Station_George St,57,78
bus,20200824,Bangor,2828,,,130
bus,20200824,Bangor,2828,Sutherland Station_West,2850,95
bus,20200824,Bangor Shopping Centre,2826,Sutherland Station_West,2850,73
bus,20200824,Bankstown Girls High School,2311,Bankstown Station_South,2307,54
bus,20200824,Bankstown_Lidcombe Hospital,2313,,,58
bus,20200824,Bankstown_Lidcombe Hospital,2313,Bankstown Square,2305,43
bus,20200824,Bankstown_Lidcombe Hospital,2313,Bankstown Station_South,2307,338
bus,20200824,Bankstown North Primary School,2300,Bankstown Square,2305,51
bus,20200824,Bankstown_Oxford Av and Koonya Av,2312,Bankstown Station_South,2307,117
bus,20200824,Bankstown Paceway,2341,Bankstown Station_South,2307,76
bus,20200824,Bankstown Private Hospital,2347,Strathfield Station_South,971,74
bus,20200824,Bankstown_Sir Joseph Banks St and Milton St,2302,Bankstown Square,2305,56
bus,20200824,Bankstown Square,2305,,,136
bus,20200824,Bankstown Square,2305,Bankstown Girls High School,2311,45
bus,20200824,Bankstown Square,2305,Bankstown Square,2305,38
bus,20200824,Bankstown Square,2305,Bankstown Station_South,2307,42
bus,20200824,Bankstown Square,2305,La Salle Catholic College,2301,70
bus,20200824,Bankstown Station_South,2307,,,222
bus,20200824,Bankstown Station_South,2307,Bankstown Airport,2337,36
bus,20200824,Bankstown Station_South,2307,Bankstown Girls High School,2311,115
bus,20200824,Bankstown Station_South,2307,Bankstown_Home Central,2314,206
bus,20200824,Bankstown Station_South,2307,Bankstown_Lidcombe Hospital,2313,127
bus,20200824,Bankstown Station_South,2307,Bankstown Private Hospital,2347,75
bus,20200824,Bankstown Station_South,2307,Bankstown Square,2305,60
bus,20200824,Bankstown Station_South,2307,Condell Park,2338,50
bus,20200824,Bankstown Station_South,2307,Condell Park_Jocarm Av and Dalton Av,2336,57
bus,20200824,Bankstown Station_South,2307,Condell Park_South St and Norman St,2334,47
bus,20200824,Bankstown Station_South,2307,Condell Primary School,2339,78
bus,20200824,Bankstown Station_South,2307,Fairfax Comm Newspapers,2335,78
bus,20200824,Bankstown Station_South,2307,Georges Hall,2325,38
bus,20200824,Bankstown Station_South,2307,Greenacre Civic Centre,2350,47
bus,20200824,Bankstown Station_South,2307,Greenway Shopping Village,2381,50
bus,20200824,Bankstown Station_South,2307,La Salle Catholic College,2301,109
bus,20200824,Bankstown Station_South,2307,Milperra Industrial Area_Eastern End,2343,91
bus,20200824,Bankstown Station_South,2307,Milperra Industrial Area_Western End,2342,46
bus,20200824,Bankstown Station_South,2307,Padstow Industrial Area_Northern End,2315,65
bus,20200824,Bankstown Station_South,2307,Padstow_Playford Park,2356,35
bus,20200824,Bankstown Station_South,2307,Padstow Station_North,2358,72
bus,20200824,Bankstown Station_South,2307,Padstow Station_South,2360,45
bus,20200824,Bankstown Station_South,2307,Punchbowl_James St and Lancaster Av,2544,43
bus,20200824,Bankstown Station_South,2307,Revesby Station_North,2383,74
bus,20200824,Bankstown Station_South,2307,Sir Joseph Banks High School,2380,50
bus,20200824,Bankstown Station_South,2307,Yagoona_Graf Park,2394,42
bus,20200824,Bankstown West Primary School,2303,Bankstown RSL Club,2298,40
bus,20200824,Barden Ridge,2830,,,201
bus,20200824,Barden Ridge,2830,Sutherland Station_West,2850,58
bus,20200824,Barnier Primary School,3923,Quakers Hill Station,3926,35
bus,20200824,Basin Beach,2030,,,81
bus,20200824,Basin Beach,2030,Basin Beach,2030,199
bus,20200824,Basin Beach,2030,Brookvale Industrial Area,2144,90
bus,20200824,Basin Beach,2030,Dee Why Plaza,2107,142
bus,20200824,Basin Beach,2030,Narrabeen Beach,2161,44
bus,20200824,Basin Beach,2030,Sydney CBD_Wynyard Station_George St,57,264
bus,20200824,Basin Beach,2030,Turimetta Beach,2035,56
bus,20200824,Bateau Bay Primary School,5106,,,68
bus,20200824,Baulkham Hills,4508,Sydney CBD_Wynyard Station_George St,57,49
bus,20200824,Baulkham Hills_Cook St and Park Renown Rd,4506,King St and George St,83,63
bus,20200824,Baulkham Hills_Cook St and Park Renown Rd,4506,Sydney CBD_Wynyard Station_George St,57,85
bus,20200824,Baulkham Hills_Hill St and Kristine Ave,4502,Sydney CBD_Wynyard Station_George St,57,48
bus,20200824,Baulkham Hills_Norwest Bvd and Columbia Av,4515,Parramatta Station_South,1059,43
