mode,date,tap,time,count
bus,20201116,off,00:00,213
bus,20201116,off,00:15,205
bus,20201116,off,00:30,202
bus,20201116,off,00:45,165
bus,20201116,off,01:00,83
bus,20201116,off,01:15,161
bus,20201116,off,01:30,135
bus,20201116,off,01:45,150
bus,20201116,off,02:00,84
bus,20201116,off,02:15,129
bus,20201116,off,02:30,125
bus,20201116,off,02:45,91
bus,20201116,off,03:00,96
bus,20201116,off,03:15,117
bus,20201116,off,03:30,80
bus,20201116,off,03:45,128
bus,20201116,off,04:00,149
bus,20201116,off,04:15,188
bus,20201116,off,04:30,189
bus,20201116,off,04:45,432
bus,20201116,off,05:00,734
bus,20201116,off,05:15,1221
bus,20201116,off,05:30,1772
bus,20201116,off,05:45,2673
bus,20201116,off,06:00,3364
bus,20201116,off,06:15,4534
bus,20201116,off,06:30,5863
bus,20201116,off,06:45,6819
bus,20201116,off,07:00,6611
bus,20201116,off,07:15,8503
bus,20201116,off,07:30,10735
bus,20201116,off,07:45,13747
bus,20201116,off,08:00,15320
bus,20201116,off,08:15,16848
bus,20201116,off,08:30,16471
bus,20201116,off,08:45,14567
bus,20201116,off,09:00,10016
bus,20201116,off,09:15,9047
bus,20201116,off,09:30,7728
bus,20201116,off,09:45,7653
bus,20201116,off,10:00,6275
bus,20201116,off,10:15,6407
bus,20201116,off,10:30,6388
bus,20201116,off,10:45,6421
bus,20201116,off,11:00,6081
bus,20201116,off,11:15,6210
bus,20201116,off,11:30,6207
bus,20201116,off,11:45,6132
bus,20201116,off,12:00,5942
bus,20201116,off,12:15,6038
bus,20201116,off,12:30,6000
bus,20201116,off,12:45,6238
bus,20201116,off,13:00,5934
bus,20201116,off,13:15,6188
bus,20201116,off,13:30,6424
bus,20201116,off,13:45,6524
bus,20201116,off,14:00,6303
bus,20201116,off,14:15,7207
bus,20201116,off,14:30,7632
bus,20201116,off,14:45,9121
bus,20201116,off,15:00,9599
bus,20201116,off,15:15,12087
bus,20201116,off,15:30,12878
bus,20201116,off,15:45,13348
