mode,date,tap,time,count
bus,20200824,off,00:00,180
bus,20200824,off,00:15,159
bus,20200824,off,00:30,132
bus,20200824,off,00:45,117
bus,20200824,off,01:00,90
bus,20200824,off,01:15,143
bus,20200824,off,01:30,110
bus,20200824,off,01:45,84
bus,20200824,off,02:00,67
bus,20200824,off,02:15,98
bus,20200824,off,02:30,106
bus,20200824,off,02:45,88
bus,20200824,off,03:00,80
bus,20200824,off,03:15,98
bus,20200824,off,03:30,106
bus,20200824,off,03:45,122
bus,20200824,off,04:00,128
bus,20200824,off,04:15,158
bus,20200824,off,04:30,178
bus,20200824,off,04:45,370
bus,20200824,off,05:00,660
bus,20200824,off,05:15,1065
bus,20200824,off,05:30,1611
bus,20200824,off,05:45,2517
bus,20200824,off,06:00,2953
bus,20200824,off,06:15,4013
bus,20200824,off,06:30,5141
bus,20200824,off,06:45,6010
bus,20200824,off,07:00,5461
bus,20200824,off,07:15,7243
bus,20200824,off,07:30,9123
bus,20200824,off,07:45,11946
bus,20200824,off,08:00,13509
bus,20200824,off,08:15,14428
bus,20200824,off,08:30,14872
bus,20200824,off,08:45,12328
bus,20200824,off,09:00,8358
bus,20200824,off,09:15,7336
bus,20200824,off,09:30,6613
bus,20200824,off,09:45,6488
bus,20200824,off,10:00,5259
bus,20200824,off,10:15,5706
bus,20200824,off,10:30,5274
bus,20200824,off,10:45,5094
bus,20200824,off,11:00,4564
bus,20200824,off,11:15,4639
bus,20200824,off,11:30,4328
bus,20200824,off,11:45,4400
bus,20200824,off,12:00,4149
bus,20200824,off,12:15,4297
bus,20200824,off,12:30,4469
bus,20200824,off,12:45,4743
bus,20200824,off,13:00,4439
bus,20200824,off,13:15,4998
bus,20200824,off,13:30,5584
bus,20200824,off,13:45,5995
bus,20200824,off,14:00,5953
bus,20200824,off,14:15,6833
bus,20200824,off,14:30,7415
bus,20200824,off,14:45,8835
bus,20200824,off,15:00,9630
bus,20200824,off,15:15,12652
bus,20200824,off,15:30,13154
bus,20200824,off,15:45,13433
bus,20200824,off,16:00,11865
bus,20200824,off,16:15,10778
