mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
bus,20201116,Abbotsford Public School,733,Five Dock_Gt North Rd and Second Ave,736,37
bus,20201116,Abbotsford Public School,733,Sydney CBD_Galeries Victoria,96,57
bus,20201116,Acacia Gardens_Waite Reserve,3930,Blacktown Station_North,4105,40
bus,20201116,Airds_Riley Park,3201,Campbelltown Town Centre_Campbelltown Station,3215,107
bus,20201116,Airds Village Shopping Centre,3203,Campbelltown Town Centre_Campbelltown Station,3215,95
bus,20201116,Albion Park_Rosetta Hill,5807,Regal Heights Shopping Centre,5803,59
bus,20201116,Albion St and Flinders St,196,Bathurst St and Elizabeth St,116,59
bus,20201116,Albion St and Flinders St,196,Hpm Industries,276,42
bus,20201116,Albion St and Flinders St,196,Sydney CBD_Savings Bank Building,60,54
bus,20201116,Alexandria_Eastern Suburbs Mail Centre,267,Beaconsfield Industrial Area_Green Square Station,264,114
bus,20201116,Alexandria_Eastern Suburbs Mail Centre,267,Central Station,146,52
bus,20201116,Alexandria_Eastern Suburbs Mail Centre,267,Prince Alfred Park,200,50
bus,20201116,Alexandria_Eastern Suburbs Mail Centre,267,Redfern Station,215,261
bus,20201116,Alexandria_Lawrence St and Maddox St,261,Newtown_Rawson St and Reiby St,248,40
bus,20201116,Alexandria_Mandible St and Wyndham St,262,Redfern Station,215,72
bus,20201116,Allawah Station_North,2605,,,90
bus,20201116,Allawah Station_North,2605,Westfield_Hurstville,2606,91
bus,20201116,Allowah Childrens Hospital,1130,Eastwood Station,1506,80
bus,20201116,All Saints High School,3804,Glenfield Station_South,3279,76
bus,20201116,Ambarvale High School,3303,Campbelltown Town Centre_Campbelltown Station,3215,55
bus,20201116,Ambarvale Shopping Centre,3299,Campbelltown Town Centre_Campbelltown Station,3215,69
bus,20201116,Ambarvale Shopping Centre,3299,Macarthur Station_South,3220,39
bus,20201116,Annandale,820,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,72
bus,20201116,Annandale,820,Glebe_Mitchell St and Westmoreland St,232,92
bus,20201116,Annandale,820,Sydney CBD_Belmore Park,134,42
bus,20201116,Annandale,820,Sydney TAFE,144,239
bus,20201116,Annandale,820,UTS_Ultimo_West,159,39
bus,20201116,Annandale_Johnston St and Booth St,818,Sydney CBD_Savings Bank Building,60,64
bus,20201116,Annandale_Johnston St and Booth St,818,Sydney TAFE,144,82
bus,20201116,Aquinas College,2827,,,82
bus,20201116,Arndell Park,4043,Blacktown Station_North,4105,63
bus,20201116,Arndell Park,4043,Westpoint Centre_Blacktown Station_South,4107,50
bus,20201116,Artarmon Industrial Area_Western End,1841,St Leonards,1844,171
bus,20201116,Ashcroft High School,3602,Liverpool CBD,3839,43
bus,20201116,Ashcroft High School,3602,Liverpool Station,3843,66
bus,20201116,Ashfield_Frederick St and Henry St,900,Ashfield Station_North,902,70
bus,20201116,Ashfield RSL Club,898,Ashfield Station_South,904,53
bus,20201116,Ashfield Station_South,904,,,41
bus,20201116,Ashfield Station_South,904,Ashfield,905,57
bus,20201116,Ashfield Station_South,904,Ashfield_Frederick St and Henry St,900,40
bus,20201116,Ashfield Station_South,904,Ashfield RSL Club,898,44
bus,20201116,Ashfield Station_South,904,Ashfield Station_North,902,40
bus,20201116,Ashfield Station_South,904,Burwood Heights_Badminton Rd and Hume Hwy,931,39
bus,20201116,Ashfield Station_South,904,Canterbury Boys High School,907,36
bus,20201116,Ashfield Station_South,904,Croydon Park,936,133
bus,20201116,Ashfield Station_South,904,Croydon Park_Portland St and Georges River Rd,935,36
bus,20201116,Ashfield Station_South,904,Croydon_Wesley Private Hospital,933,62
bus,20201116,Asquith_West,1607,Hornsby Station,1625,40
bus,20201116,Auburn_Domayne,1301,Lidcombe Station,1336,40
bus,20201116,Auburn_Ettalong St,1317,Auburn Station_South,1309,54
bus,20201116,Auburn_Ettalong St,1317,St Josephs Hospital,1308,36
bus,20201116,Auburn Girls High School,1303,Parramatta Station_South,1059,41
bus,20201116,Auburn_McDonalds,1304,Parramatta Station_South,1059,48
bus,20201116,Auburn_Mona Pk,1307,Auburn Station_South,1309,38
bus,20201116,Auburn_Parramatta Rd and Rawson St,1300,Parramatta Station_South,1059,48
bus,20201116,Auburn Station_North,1306,Silverwater_Silverwater Industrial,1324,53
bus,20201116,Auburn Station_North,1306,Silverwater_Silverwater_ Stubbs St and Beaconsfield St,1323,115
bus,20201116,Auburn Station_South,1309,Auburn Botanic Gardens,1310,40
bus,20201116,Auburn Station_South,1309,Auburn Hospital District Hospital,1311,56
bus,20201116,Auburn Station_South,1309,Auburn_Wellington Rd and Park Rd,1313,47
