mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
bus,20200323,Abbotsford Public School,733,Sydney CBD_Galeries Victoria,96,54
bus,20200323,Acacia Gardens_Waite Reserve,3930,Blacktown Station_North,4105,52
bus,20200323,Airds_Riley Park,3201,Campbelltown Town Centre_Campbelltown Station,3215,97
bus,20200323,Airds Village Shopping Centre,3203,Campbelltown Town Centre_Campbelltown Station,3215,111
bus,20200323,Albion Park_Rosetta Hill,5807,Regal Heights Shopping Centre,5803,54
bus,20200323,Albion St and Flinders St,196,Bathurst St and Elizabeth St,116,54
bus,20200323,Albion St and Flinders St,196,Sydney CBD_Savings Bank Building,60,38
bus,20200323,Alexandria_Eastern Suburbs Mail Centre,267,Beaconsfield Industrial Area_Green Square Station,264,113
bus,20200323,Alexandria_Eastern Suburbs Mail Centre,267,Redfern Station,215,217
bus,20200323,Alexandria_Mandible St and Wyndham St,262,Redfern Station,215,51
bus,20200323,Allowah Childrens Hospital,1130,Eastwood Station,1506,60
bus,20200323,All Saints High School,3804,Glenfield Station_South,3279,78
bus,20200323,Ambarvale High School,3303,Campbelltown Town Centre_Campbelltown Station,3215,72
bus,20200323,Ambarvale Shopping Centre,3299,Campbelltown Town Centre_Campbelltown Station,3215,79
bus,20200323,Annandale,820,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,69
bus,20200323,Annandale,820,Glebe_Mitchell St and Westmoreland St,232,62
bus,20200323,Annandale,820,Sydney CBD_Belmore Park,134,35
bus,20200323,Annandale,820,Sydney TAFE,144,175
bus,20200323,Annandale,820,UTS_Ultimo_West,159,35
bus,20200323,Annandale_Johnston St and Booth St,818,Sydney CBD_Savings Bank Building,60,40
bus,20200323,Annandale_Johnston St and Booth St,818,Sydney TAFE,144,78
bus,20200323,Arndell Park,4043,Blacktown Station_North,4105,58
bus,20200323,Arndell Park,4043,Westpoint Centre_Blacktown Station_South,4107,63
bus,20200323,Artarmon Industrial Area_Western End,1841,St Leonards,1844,136
bus,20200323,Ashcroft High School,3602,Liverpool CBD,3839,64
bus,20200323,Ashcroft High School,3602,Liverpool Station,3843,65
bus,20200323,Ashfield_Frederick St and Henry St,900,Ashfield Station_North,902,54
bus,20200323,Ashfield RSL Club,898,Ashfield Station_South,904,50
bus,20200323,Ashfield Station_South,904,,,53
bus,20200323,Ashfield Station_South,904,Ashfield,905,56
bus,20200323,Ashfield Station_South,904,Ashfield_Frederick St and Henry St,900,44
bus,20200323,Ashfield Station_South,904,Ashfield Park,903,39
bus,20200323,Ashfield Station_South,904,Ashfield Station_South,904,41
bus,20200323,Ashfield Station_South,904,Croydon Park,936,102
bus,20200323,Ashfield Station_South,904,Croydon_Wesley Private Hospital,933,56
bus,20200323,Asquith_West,1607,Hornsby Station,1625,36
bus,20200323,Auburn_Domayne,1301,Lidcombe Station,1336,40
bus,20200323,Auburn_Ettalong St,1317,Auburn Station_South,1309,43
bus,20200323,Auburn_Ettalong St,1317,St Josephs Hospital,1308,36
bus,20200323,Auburn Girls High School,1303,Parramatta Station_South,1059,41
bus,20200323,Auburn Station_North,1306,Auburn Station_North,1306,35
bus,20200323,Auburn Station_North,1306,Silverwater_Silverwater Industrial,1324,36
bus,20200323,Auburn Station_North,1306,Silverwater_Silverwater_ Stubbs St and Beaconsfield St,1323,108
bus,20200323,Auburn Station_South,1309,,,44
bus,20200323,Auburn Station_South,1309,Auburn Botanic Gardens,1310,36
bus,20200323,Auburn Station_South,1309,Auburn Hospital District Hospital,1311,49
bus,20200323,Auburn Station_South,1309,Auburn_Wellington Rd and Park Rd,1313,71
bus,20200323,Auburn Station_South,1309,Regents Park_Peter Hislop Park,1315,41
bus,20200323,Auburn Station_South,1309,South Granville Industrial Area,1257,47
bus,20200323,Austlink Corporate Park_Belrose,2129,Gordon Station_West,1704,89
bus,20200323,Avalon Beach,2004,Basin Beach,2030,41
bus,20200323,Bald Face Point Lookout Blakehurst,2660,Hurstville_Empress Res,2653,47
bus,20200323,Balgowlah,2202,,,37
bus,20200323,Balgowlah Boys High School,2204,,,53
bus,20200323,Balgowlah Boys High School,2204,Sydney CBD_Wynyard Station_George St,57,91
bus,20200323,Balmain Ferry Wharf Darling Street,805,Gladstone Park,806,74
bus,20200323,Balmain Ferry Wharf Darling Street,805,Westpac Building,82,35
bus,20200323,Balmain High School,824,Market St and Kent St,92,74
bus,20200323,Balmain High School,824,Sydney CBD_Galeries Victoria,96,81
bus,20200323,Balmain_Montague St and Darling St,804,Allianz Centre,80,50
bus,20200323,Balmain_Montague St and Darling St,804,Balmain Ferry Wharf Darling Street,805,36
bus,20200323,Balmain_Montague St and Darling St,804,Balmain_Montague St and Darling St,804,41
bus,20200323,Balmain_Montague St and Darling St,804,Queen Victoria Building,95,75
bus,20200323,Balmain_Montague St and Darling St,804,Rozelle Public School,826,58
bus,20200323,Balmain_Montague St and Darling St,804,Westpac Building,82,177
bus,20200323,Balmain_Roseberry St,807,Allianz Centre,80,45
bus,20200323,Balmain_Roseberry St,807,Queen Victoria Building,95,63
bus,20200323,Balmain_Roseberry St,807,Westpac Building,82,138
bus,20200323,Balmain_Thames St and Trouton St,803,Balmain Ferry Wharf Darling Street,805,77
bus,20200323,Balmoral,1923,Mosman Pk,1927,51
bus,20200323,Balmoral,1923,Sydney CBD_Wynyard Station_George St,57,114
bus,20200323,Bangor,2828,,,74
bus,20200323,Bangor,2828,Sutherland Station_West,2850,59
bus,20200323,Bangor Shopping Centre,2826,Sutherland Station_West,2850,82
bus,20200323,Bankstown Girls High School,2311,Bankstown Station_South,2307,53
bus,20200323,Bankstown_Lidcombe Hospital,2313,,,54
bus,20200323,Bankstown_Lidcombe Hospital,2313,Bankstown Square,2305,47
bus,20200323,Bankstown_Lidcombe Hospital,2313,Bankstown Station_South,2307,302
bus,20200323,Bankstown_Oxford Av and Koonya Av,2312,Bankstown Station_South,2307,143
bus,20200323,Bankstown Paceway,2341,Bankstown Station_South,2307,70
bus,20200323,Bankstown Private Hospital,2347,Strathfield Station_South,971,64
bus,20200323,Bankstown_Sir Joseph Banks St and Milton St,2302,Bankstown Square,2305,61
bus,20200323,Bankstown Square,2305,,,133
bus,20200323,Bankstown Square,2305,Bankstown Girls High School,2311,52
bus,20200323,Bankstown Square,2305,Bankstown_Home Central,2314,45
bus,20200323,Bankstown Square,2305,Bankstown Private Hospital,2347,41
bus,20200323,Bankstown Square,2305,Bankstown Square,2305,52
bus,20200323,Bankstown Square,2305,La Salle Catholic College,2301,61
bus,20200323,Bankstown Station_South,2307,,,235
bus,20200323,Bankstown Station_South,2307,Bankstown Airport,2337,39
bus,20200323,Bankstown Station_South,2307,Bankstown Girls High School,2311,136
bus,20200323,Bankstown Station_South,2307,Bankstown_Home Central,2314,194
bus,20200323,Bankstown Station_South,2307,Bankstown_Lidcombe Hospital,2313,171
bus,20200323,Bankstown Station_South,2307,Bankstown Private Hospital,2347,91
bus,20200323,Bankstown Station_South,2307,Bankstown Square,2305,67
bus,20200323,Bankstown Station_South,2307,Bankstown West Primary School,2303,38
bus,20200323,Bankstown Station_South,2307,Bass Hill Plaza,2321,46
bus,20200323,Bankstown Station_South,2307,Condell Park,2338,47
bus,20200323,Bankstown Station_South,2307,Condell Park_Jocarm Av and Dalton Av,2336,67
bus,20200323,Bankstown Station_South,2307,Condell Park_South St and Norman St,2334,50
bus,20200323,Bankstown Station_South,2307,Condell Primary School,2339,78
bus,20200323,Bankstown Station_South,2307,Fairfax Comm Newspapers,2335,72
bus,20200323,Bankstown Station_South,2307,Georges Hall,2325,43
bus,20200323,Bankstown Station_South,2307,Greenacre Civic Centre,2350,44
bus,20200323,Bankstown Station_South,2307,Greenway Shopping Village,2381,54
bus,20200323,Bankstown Station_South,2307,La Salle Catholic College,2301,118
bus,20200323,Bankstown Station_South,2307,Milperra Industrial Area_Eastern End,2343,79
bus,20200323,Bankstown Station_South,2307,Milperra Industrial Area_Western End,2342,55
bus,20200323,Bankstown Station_South,2307,Mount St Joseph High School,2367,54
bus,20200323,Bankstown Station_South,2307,Padstow Industrial Area_Northern End,2315,76
bus,20200323,Bankstown Station_South,2307,Padstow Station_North,2358,76
bus,20200323,Bankstown Station_South,2307,Punchbowl_James St and Lancaster Av,2544,35
bus,20200323,Bankstown Station_South,2307,Revesby Station_North,2383,60
bus,20200323,Bankstown Station_South,2307,Sir Joseph Banks High School,2380,67
bus,20200323,Bankstown Station_South,2307,Woolworths Greenacre,2346,39
bus,20200323,Bankstown Station_South,2307,Yagoona_Graf Park,2394,49
bus,20200323,Bankstown Station_South,2307,Yagoona_Saltash St and Glassop St,2398,35
bus,20200323,Bankstown West Primary School,2303,Bankstown RSL Club,2298,49
bus,20200323,Barden Ridge,2830,,,106
