mode,date,tap,time,count
bus,20200323,off,00:00,158
bus,20200323,off,00:15,157
bus,20200323,off,00:30,153
bus,20200323,off,00:45,103
bus,20200323,off,01:00,106
bus,20200323,off,01:15,165
bus,20200323,off,01:30,148
bus,20200323,off,01:45,111
bus,20200323,off,02:00,105
bus,20200323,off,02:15,122
bus,20200323,off,02:30,159
bus,20200323,off,02:45,123
bus,20200323,off,03:00,87
bus,20200323,off,03:15,116
bus,20200323,off,03:30,120
bus,20200323,off,03:45,113
bus,20200323,off,04:00,133
bus,20200323,off,04:15,196
bus,20200323,off,04:30,225
bus,20200323,off,04:45,424
bus,20200323,off,05:00,767
bus,20200323,off,05:15,1352
bus,20200323,off,05:30,1833
bus,20200323,off,05:45,2763
bus,20200323,off,06:00,3412
bus,20200323,off,06:15,4785
bus,20200323,off,06:30,5826
bus,20200323,off,06:45,6910
bus,20200323,off,07:00,6572
bus,20200323,off,07:15,8437
bus,20200323,off,07:30,10846
bus,20200323,off,07:45,13002
bus,20200323,off,08:00,14659
bus,20200323,off,08:15,15801
bus,20200323,off,08:30,13875
bus,20200323,off,08:45,11404
bus,20200323,off,09:00,8163
bus,20200323,off,09:15,7181
bus,20200323,off,09:30,6685
bus,20200323,off,09:45,6316
bus,20200323,off,10:00,5611
bus,20200323,off,10:15,5720
bus,20200323,off,10:30,5717
bus,20200323,off,10:45,5760
bus,20200323,off,11:00,5277
bus,20200323,off,11:15,5472
bus,20200323,off,11:30,5501
bus,20200323,off,11:45,5450
bus,20200323,off,12:00,5124
bus,20200323,off,12:15,5265
bus,20200323,off,12:30,5500
bus,20200323,off,12:45,5260
bus,20200323,off,13:00,5206
bus,20200323,off,13:15,5510
bus,20200323,off,13:30,5446
bus,20200323,off,13:45,5473
bus,20200323,off,14:00,5537
bus,20200323,off,14:15,6254
bus,20200323,off,14:30,7030
bus,20200323,off,14:45,8302
bus,20200323,off,15:00,9065
bus,20200323,off,15:15,11373
bus,20200323,off,15:30,12148
bus,20200323,off,15:45,12120
bus,20200323,off,16:00,10205
bus,20200323,off,16:15,9382
bus,20200323,off,16:30,8613
bus,20200323,off,16:45,8310
bus,20200323,off,17:00,7828
bus,20200323,off,17:15,8432
bus,20200323,off,17:30,8355
bus,20200323,off,17:45,8520
bus,20200323,off,18:00,7865
bus,20200323,off,18:15,7338
bus,20200323,off,18:30,6237
bus,20200323,off,18:45,4828
bus,20200323,off,19:00,4149
bus,20200323,off,19:15,3353
bus,20200323,off,19:30,2690
bus,20200323,off,19:45,2294
bus,20200323,off,20:00,1912
bus,20200323,off,20:15,1664
bus,20200323,off,20:30,1460
bus,20200323,off,20:45,1208
bus,20200323,off,21:00,1104
bus,20200323,off,21:15,1173
bus,20200323,off,21:30,1097
bus,20200323,off,21:45,849
bus,20200323,off,22:00,674
bus,20200323,off,22:15,618
bus,20200323,off,22:30,529
bus,20200323,off,22:45,426
bus,20200323,off,23:00,367
bus,20200323,off,23:15,278
bus,20200323,off,23:30,254
bus,20200323,off,23:45,201
bus,20200323,on,00:00,150
bus,20200323,on,00:15,145
bus,20200323,on,00:30,167
bus,20200323,on,00:45,130
bus,20200323,on,01:00,178
bus,20200323,on,01:15,110
bus,20200323,on,01:30,174
bus,20200323,on,01:45,71
bus,20200323,on,02:00,134
bus,20200323,on,02:15,111
bus,20200323,on,02:30,135
bus,20200323,on,02:45,90
bus,20200323,on,03:00,136
bus,20200323,on,03:15,83
bus,20200323,on,03:30,134
bus,20200323,on,03:45,151
bus,20200323,on,04:00,171
bus,20200323,on,04:15,169
bus,20200323,on,04:30,436
bus,20200323,on,04:45,702
bus,20200323,on,05:00,1249
bus,20200323,on,05:15,1998
bus,20200323,on,05:30,2726
bus,20200323,on,05:45,3790
bus,20200323,on,06:00,4900
bus,20200323,on,06:15,6002
bus,20200323,on,06:30,6859
bus,20200323,on,06:45,7234
bus,20200323,on,07:00,9724
bus,20200323,on,07:15,12428
bus,20200323,on,07:30,15338
bus,20200323,on,07:45,17472
bus,20200323,on,08:00,16740
bus,20200323,on,08:15,15006
bus,20200323,on,08:30,11731
bus,20200323,on,08:45,8634
bus,20200323,on,09:00,7357
bus,20200323,on,09:15,6889
bus,20200323,on,09:30,6292
bus,20200323,on,09:45,5815
bus,20200323,on,10:00,6011
bus,20200323,on,10:15,6071
bus,20200323,on,10:30,5842
bus,20200323,on,10:45,5656
bus,20200323,on,11:00,5735
bus,20200323,on,11:15,5723
bus,20200323,on,11:30,5681
bus,20200323,on,11:45,5459
bus,20200323,on,12:00,5524
bus,20200323,on,12:15,5754
bus,20200323,on,12:30,5612
bus,20200323,on,12:45,5464
